model,seed,regime,k,zmid_m,sigma_T,sigma_S,rmse_T,rmse_S,floor_T,floor_S,n
A_CRPS,42,all,0,0.5,1.0470144642740948,0.5717879624260975,1.0470144642740948,0.5717879624260975,False,False,623
A_CRPS,42,all,1,1.900000039835305,1.045814156131389,0.571191453664986,1.045814156131389,0.571191453664986,False,False,623
A_CRPS,42,all,2,4.420000051785896,1.0366618384058215,0.5091576915856851,1.0366618384058215,0.5091576915856851,False,False,623
A_CRPS,42,all,3,8.379999928296451,1.0400101940404272,0.4388921898702088,1.0400101940404272,0.4388921898702088,False,False,623
A_CRPS,42,all,4,13.184999737086988,1.0453624566541186,0.3830116977672372,1.0453624566541186,0.3830116977672372,False,False,623
A_CRPS,42,all,5,18.554999609614015,1.0570707749994093,0.31808264230799377,1.0570707749994093,0.31808264230799377,False,False,623
A_CRPS,42,all,6,24.894999514009285,1.098814759194799,0.24809072741382227,1.098814759194799,0.24809072741382227,False,False,623
A_CRPS,42,all,7,32.329999450272794,1.1822997769242967,0.2153639140704066,1.1822997769242967,0.2153639140704066,False,False,623
A_CRPS,42,all,8,40.329999450272794,1.2712405807177378,0.20216892842274237,1.2712405807177378,0.20216892842274237,False,False,623
A_CRPS,42,all,9,48.329999450272794,1.3020802337337123,0.19414177053552503,1.3020802337337123,0.19414177053552503,False,False,623
A_CRPS,42,all,10,56.329999450272794,1.3157534266011148,0.1881756207931136,1.3157534266011148,0.1881756207931136,False,False,623
A_CRPS,42,all,11,64.3299994502728,1.3325195742744003,0.1815197219732963,1.3325195742744003,0.1815197219732963,False,False,623
A_CRPS,42,all,12,72.3299994502728,1.3473871471004082,0.17693118805045907,1.3473871471004082,0.17693118805045907,False,False,623
A_CRPS,42,all,13,80.3299994502728,1.3543813076412654,0.1708541701096541,1.3543813076412654,0.1708541701096541,False,False,623
A_CRPS,42,all,14,88.3299994502728,1.3336033714373714,0.16643274462642932,1.3336033714373714,0.16643274462642932,False,False,623
A_CRPS,42,all,15,96.3299994502728,1.3144165100440663,0.1672850563683702,1.3144165100440663,0.1672850563683702,False,False,623
A_CRPS,42,all,16,104.3299994502728,1.2866432075799084,0.1710151034394413,1.2866432075799084,0.1710151034394413,False,False,623
A_CRPS,42,all,17,112.41128312438389,1.264282064639913,0.1713750384670038,1.264282064639913,0.1713750384670038,False,False,623
A_CRPS,42,all,18,124.0181019371289,1.2147014630332744,0.17082124400210943,1.2147014630332744,0.17082124400210943,False,False,623
A_CRPS,42,all,19,138.33536150362164,1.1490437810920038,0.17218178558721103,1.1490437810920038,0.17218178558721103,False,False,623
A_CRPS,42,all,20,157.18840503599694,1.0976508578245172,0.16624611040904913,1.0976508578245172,0.16624611040904913,False,False,623
A_CRPS,42,all,21,198.628367477501,1.019606695955506,0.1397127501284034,1.019606695955506,0.1397127501284034,False,False,623
A_CRPS,42,all,22,256.89684052475667,0.8981162386289094,0.13192437236858215,0.8981162386289094,0.13192437236858215,False,False,623
A_CRPS,42,all,23,323.7307751056255,0.7999138888065929,0.12132854240858565,0.7999138888065929,0.12132854240858565,False,False,623
A_CRPS,42,all,24,420.3034332854247,0.7014311797947724,0.1011299332942618,0.7014311797947724,0.1011299332942618,False,False,623
A_CRPS,42,all,25,527.207848736849,0.5945023457234934,0.07892396090850287,0.5945023457234934,0.07892396090850287,False,False,623
A_CRPS,42,all,26,625.15220607476,0.46672355692477685,0.053326405413541444,0.46672355692477685,0.053326405413541444,False,False,623
A_CRPS,42,all,27,741.9911521140331,0.346982654679588,0.02942352296286506,0.346982654679588,0.02942352296286506,False,False,623
