lon,lat,date,analysis_date,n_z_valid_T,dataset
-84.600380,25.568821,2024-01-05,20240104,29,qcobs_tsisv2
-81.468063,23.958599,2024-01-06,20240104,32,qcobs_tsisv2
-88.554047,27.799089,2024-01-06,20240104,41,qcobs_tsisv2
-87.753601,28.596189,2024-01-06,20240104,41,qcobs_tsisv2
-85.048958,24.732790,2024-01-06,20240104,40,qcobs_tsisv2
-86.652870,26.988380,2024-01-06,20240104,41,qcobs_tsisv2
-89.275391,24.696180,2024-01-06,20240104,41,qcobs_tsisv2
-86.924026,25.254570,2024-01-06,20240104,41,qcobs_tsisv2
-83.729553,23.710871,2024-01-06,20240104,40,qcobs_tsisv2
-87.398262,26.069559,2024-01-06,20240104,41,qcobs_tsisv2
-87.346024,25.967520,2024-01-06,20240104,41,qcobs_tsisv2
-95.437943,23.191080,2024-01-07,20240104,41,qcobs_tsisv2
-83.765450,24.600821,2024-01-07,20240104,28,qcobs_tsisv2
-86.317810,24.566790,2024-01-07,20240104,41,qcobs_tsisv2
-84.641060,25.720940,2024-01-07,20240104,28,qcobs_tsisv2
-89.918030,25.579041,2024-01-07,20240104,41,qcobs_tsisv2
-88.108093,25.374210,2024-01-07,20240104,41,qcobs_tsisv2
-87.485184,27.504560,2024-01-07,20240104,41,qcobs_tsisv2
-85.964821,24.133789,2024-01-07,20240104,41,qcobs_tsisv2
-87.068619,24.967421,2024-01-07,20240104,38,qcobs_tsisv2
-83.258636,23.195700,2024-01-07,20240104,41,qcobs_tsisv2
-90.323952,23.479139,2024-01-08,20240104,41,qcobs_tsisv2
-95.467903,26.230230,2024-01-08,20240104,36,qcobs_tsisv2
-86.286667,23.670050,2024-01-08,20240104,35,qcobs_tsisv2
-87.984001,25.738930,2024-01-08,20240104,41,qcobs_tsisv2
-88.903259,28.325649,2024-01-08,20240104,33,qcobs_tsisv2
-86.827560,27.021420,2024-01-08,20240104,41,qcobs_tsisv2
-90.672363,25.605301,2024-01-08,20240104,41,qcobs_tsisv2
-85.514999,23.937401,2024-01-08,20240104,40,qcobs_tsisv2
-94.356918,19.321400,2025-01-01,20250102,32,qcobs_profile_orig
-95.931000,21.358419,2025-01-01,20250102,41,qcobs_profile_orig
-89.486031,27.855761,2025-01-01,20250102,31,qcobs_profile_orig
-81.033829,23.590050,2025-01-01,20250102,33,qcobs_profile_orig
-91.897324,25.042379,2025-01-01,20250102,41,qcobs_profile_orig
-86.246696,24.727699,2025-01-01,20250102,40,qcobs_profile_orig
